Place,Reviews,Customer Rating,GPT4o,Manual,Gemini 1.5 (Pro)
Aurora Central - A Family Hotel -Hanoi,"Title: Kỳ nghỉ tuyệt vời Happy review: Không gian sang trọng, nhân viên vui vẻ và nhiệt tình, phòng ốc cũng rất sạch sẽ. Xung quanh có nhiều quán ăn, điểm vui chơi giải trí. Sẽ còn quay lại ạ.,""",5,positive,positive,positive
Aurora Central - A Family Hotel -Hanoi,"Title: Xuất sắc Happy review: Tôi rất thích vẻ đẹp ở đây, từ con người thân thiện tới phòng ốc. tôi sẽ quay lại nếu có dịp đi công tác.,nothing""",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Superb Happy review: mọi thứ đều OK: tiện nghi, phòng, nhân viên, chỗ đậu xe,",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Hài lòng Happy review: KS gần biển, cạnh Vincom plaza, highlands. Phòng sạch sẽ, có ban công.,",4,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Exceptional Happy review: Không gian sang trọng và tiện nghi,",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Exceptional Happy review: phòng rất là ok, sạch sẽ, đầy đủ thiết bị, chắc chắn sẽ ở nếu lần sau quay lại,",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Exceptional Happy review: Giường gối êm sạch, khăn tắm sạch và mềm,",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Superb Happy review: Chổ nghĩ gần biển , và phòng ốc cũng rất OK Giá cả phải chăng,",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Superb Happy review: Anh chủ nhà thân thiện, rất xứng đáng với giá tiền,",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Exceptional  Happy review: Giường rất thoải mái phòng thì sạch, gọn gàng. Có ban công hướng ra biển cũng rất đẹp. Đặc biệt còn có hồ bơi vô cực ở tầng cao nhất nữa rất tuyệt vời",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Rất tốt Happy review: Trung tâm tiện nghi,",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Ok Happy review: Nhân viên hòa đồng nhiệt tình,",5,neutral,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,Title: Tuyệt vời Happy review: Ảnh chủ rất nhiệt tình và thân thiện. Chổ nghĩ ngay trung tâm nên rất thuận tiện đi đến các địa điểm du lịch,5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Rất tốt Happy review: Không gian thoã mãi , nhân viên nhiệt tình thân thiện Phòng sạch sẽ tiện nghi",5,positive,positive,positive
Apec Mandala Condotel Sea View Comhomes Phú Yên,"Title: Đáng lưu chân Happy review: Tôi thấy ở đây OK. Lần thứ hai đến Phú Yên, lần này tôi đi công việc. Nghỉ ở đây đúng là sáng suốt. Phòng quá tuyệt vời, được trang trí, bố trí hài hòa, giường thì êm ái, thoải mái, ngoài ra còn có tầng thượng có một số dịch vụ cũng hấp dẫn,",5,positive,positive,positive
