<<<<<<< HEAD
﻿Reviews,Customer Rating,GPT4o,Manual,Gemini 1.5 (Pro)
"người bán chuẩn bị hàng lâu. đóng gói sản phẩm không cẩn thận bằng gian hàng Samsung. ốp lưng đi kèm máy chất lượng kém nhất trong các hãng điện thoại từng dùng, chi tiết thừa rất nhiều, cầm cạ hết vào tay. máy chạy android 13 chưa được bản 14 mới nhất. ưu điểm Ram, bộ nhớ trong đủ dùng nhu cầu cơ bản. wifi có vấn đề nên có lúc nhận mạng nhanh, còn bình thường mất thời gian để nhận mặc dù gần cục phát. phần mềm có chỗ việt hóa chưa sát nghĩa. khi dùng nên tắt trợ lý của google để dùng được phím nguồn khi cần tắt nguồn hoặ c khởi động lại",3,negative,negative,negative
ổn,4,neutral,neutral,neutral
"Âm thanh 2 chiều giúp giao tiếp dễ dàng, Phát hiện chuyển động thông minh, cảnh báo ngay lập tức,  ",4,positive,positive,positive
cho 5 sao,4,positive,positive,positive
"Đẹp, ổn định nhưng góc quay không rộng lắm ",3,neutral,positive,neutral
máy ko quay các góc được.,3,negative,neutral,negative
"Camera với dây rắc cắm hay bị chập chờn bắt Wifi cũng chập chờn, hay bị lỗi tín hiệu.",2,negative,negative,negative
mua sản phẩm lần 2 mà ko biết dòng C Vs A khác nhau như tn. shop giải thích dùm ,4,neutral,neutral,negative
"cam thì nét ok đấy. nhưng cục sạc dài quá không nhét được vào chân đế được tặng. làm mình phải đi mua hộp kỹ thuật bên ngoài để thay thế. còn chân đến được tặng phải đục khoét thêm chút mới lắp được nha. đúng là cái chân đế được tặng chán thật, vừa cũ mà vừa bụi, chắc là hàng tồn không bán được. 4 sao thôi",4,negative,neutral,negative
"ok, sẽ mua vào lần sau",4,neutral,neutral,positive
Sản phẩm dùng được. Nhưng ban đem hồng ngoại hơi yếu,4,neutral,neutral,neutral
ok với sản phẩm,4,positive,positive,positive
Với 650k cả thẻ 64g như nhau thì em này xách dép cho Inmilab c21. Hình ảnh màu bị vỡ rất ghê di chuyển k mượt lại còn bị rè âm thanh. M hơi thất vọng. Mn nên mua dòng Inmilab c21 trở lên sẽ ổn hơn nhiều ,3,negative,negative,negative
"1 camera mới, 1 camera cũ có dấu vân tay đề nghi bộ phận chăm sóc khách hàng liên hệ lại để nhận video mở hàng. Không hài lòng hàng mới mà lại đưa hàng cũ. Nếu làm ăn gian dối như vậy thì sẽ report trên toàn hệ thống.",1,negative,negative,negative
"cam sử dụng vài hôm bị lỗi, chỉ sáng đèn đỏ không reset được",3,negative,negative,negative
"4MP nhưng vô dụng, chất lượng ko có gì khác 2MP. Đừng mua phí tiền",3,negative,negative,negative
"Tạm dc, nếu so với cùng tầm giá thì thua xiaomi",3,negative,neutral,negative
"Chất lượng cam có vấn đề khi đọc ghi thẻ nhớ, tôi đã phải mua kèm thẻ 64gb của hãng mà dùng 1 lúc lại không nhận thẻ dù đã format thẻ, máy không cho lưu vào Cloud nhà mạng khác cũng là điểm trừ.",1,negative,negative,negative
"bán hàng kiểu cc,, hàng hơn 600k chứ đâu phải rẻ, mà để thông tin camera quay 360 độ nhưng khi nhận hàng,, test k quây cũng k cho gửi trả là sao,,,🐶 thật Lazada",1,negative,negative,negative
Sau hai ngày dùng thấy cam hơi tối.đàm thoại hai chiều quá kém k nghe thấy gì loa bị vọng rất ồn. Nói chung hàng kém chất lượng. ,2,negative,negative,negative
Mua 2 cái thì 1 cái hư thẻ nhớ. bảo hành cà lằng nhằng. mất thời gian. mấy món này mua ở chỗ mình ở cho dễ bảo hành. mang tiếng công ty lớn mà làm ăn giống trong đồng. Mới có hư cái thẻ nhớ mà thấy lubu mai mốt camara lỗi chắc không biết sao,1,negative,negative,negative
